x,v_ana,d_ana,v_gts_fo,d_gts_fo,v_gts_tvd,d_gts_tvd,v_lts_fo,d_lts_fo,v_lts_tvd,d_lts_tvd
0.025,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.075,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.125,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.175,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.225,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.275,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.325,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.375,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.425,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.475,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.525,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.575,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.625,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.675,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.725,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.775,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.825,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.875,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.925,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
0.975,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.025,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.075,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.125,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.175,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.225,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.275,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.325,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.375,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.425,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.475,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.525,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.575,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.625,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.675,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.725,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.775,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.825,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.875,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.925,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
1.975,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.025,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.075,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.125,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.175,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.225,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.275,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.325,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.375,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.425,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.475,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.525,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.575,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.625,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.675,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.725,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.775,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.825,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.875,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.925,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
2.975,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
3.025,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
3.075,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
3.125,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
3.175,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
3.225,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
3.275,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
3.325,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
